,name,average,std
0,five_uneven_peak_trap resampling,195.94322019201948,12.638866973487161
1,five_uneven_peak_trap projection,167.21904713491227,52.25733954538145
2,five_uneven_peak_trap reflection,199.9323196312849,0.0772217248141022
3,five_uneven_peak_trap wrapping,199.8864191054006,0.1928585485715914
4,five_uneven_peak_trap our method,196.8815540922344,8.685100340002082
5,five_uneven_peak_trap our method random,195.76174159024745,12.58007643844716
6,equal_maxima resampling,0.9999905098167856,1.0557683394577933e-05
7,equal_maxima projection,0.9982926291882791,0.0029749180449751976
8,equal_maxima reflection,0.9999908420281075,1.5469597035145887e-05
9,equal_maxima wrapping,0.999996752472003,5.579039131585556e-06
10,equal_maxima our method,0.9999823714163462,3.2666825877720475e-05
11,equal_maxima our method random,0.9999857021005141,2.428787888758941e-05
12,uneven_decreasing_maxima resampling,0.9995537252461835,0.0005161698440095317
13,uneven_decreasing_maxima projection,0.9794665545810097,0.02193792530977824
14,uneven_decreasing_maxima reflection,0.9988431476352675,0.0023178551343355416
15,uneven_decreasing_maxima wrapping,0.9990521117188166,0.002060084740873689
16,uneven_decreasing_maxima our method,0.8380185805804915,0.19374690993001778
17,uneven_decreasing_maxima our method random,0.9994653196494901,0.001119528170934049
18,himmelblau resampling,199.96030971316753,0.04568046730436298
19,himmelblau projection,199.9706852938296,0.02492020186091521
20,himmelblau reflection,199.982144816095,0.016094038397305926
21,himmelblau wrapping,199.97110057684966,0.037974088238314795
22,himmelblau our method,199.97589378882648,0.022517694618675768
23,himmelblau our method random,199.97781257747286,0.017555659047212836
24,six_hump_camel_back resampling,1.0272127661007096,0.0049838525991976025
25,six_hump_camel_back projection,1.0201872718621534,0.005573060389877112
26,six_hump_camel_back reflection,1.0283826749109584,0.00494111029360437
27,six_hump_camel_back wrapping,1.0288700009379212,0.0019509235444676028
28,six_hump_camel_back our method,1.0261365228572588,0.003760403668133815
29,six_hump_camel_back our method random,1.0291398238165677,0.0021901495961001907
30,shubert resampling,23789.790143950944,7161.2372136317545
31,shubert projection,27057.9446203869,6240.238241099231
32,shubert reflection,29199.862808270205,5993.719435429044
33,shubert wrapping,29358.15726868895,5470.877898929889
34,shubert our method,27446.506970182672,3951.7544507133944
35,shubert our method random,29568.211819081887,4461.07067877728
36,vincent resampling,0.9781474005774691,0.01728765613608762
37,vincent projection,0.9857750002226966,0.010903380151631
38,vincent reflection,0.9802419745993858,0.012339316561259804
39,vincent wrapping,0.982823215065487,0.006600328168707818
40,vincent our method,0.985472660639739,0.008125762585636607
41,vincent our method random,0.9829490569290357,0.011101591348579501
42,modified_rastrigin_all resampling,-151.06096610456274,24.122615038840053
43,modified_rastrigin_all projection,-135.54052648495062,22.357407558954872
44,modified_rastrigin_all reflection,-99.68755695952595,11.025354501493023
45,modified_rastrigin_all wrapping,-94.52636136224802,10.603321651877732
46,modified_rastrigin_all our method,-130.7043592479459,21.45883461036497
47,modified_rastrigin_all our method random,-100.14060559685575,10.570636239593915
